"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"IPE","İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,0231","3,3536","8,3717","1,6424","14,4230","-","-"
"SUB","ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,3313","6,8248","9,4263","5,9040","14,4107","39,5121","40,7970"
"HOA","HSBC PORTFÖY ÇOKLU VARLIK ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-1,7170","0,2362","6,9354","0,2585","14,2161","47,9805","96,2488"
"YBP","YAPI KREDİ PORTFÖY PY BİRİNCİ DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","0,6883","-0,2627","6,9904","0,1249","14,0002","89,9405","136,3239"
"TE3","TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,0073","3,2097","6,8773","2,1681","13,9475","57,4586","103,1726"
"PUC","AK PORTFÖY ÖPY ÜÇÜNCÜ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,3118","4,3409","7,5321","3,1108","13,8737","-","-"
"YDP","YAPI KREDİ PORTFÖY PY ÜÇÜNCÜ DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","-0,1273","2,2705","6,9893","0,8932","13,8390","71,8080","118,5983"
"AHU","ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,3151","4,4725","7,9098","2,9741","13,7611","68,8110","-"
"IMH","İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,8252","2,5071","6,9858","1,0490","13,6385","-","-"
"SSO","AK PORTFÖY AK SANDIK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,9814","3,9034","7,9519","2,6282","13,3799","69,9379","-"
"OYT","OYAK PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,4075","3,9185","7,3997","3,0027","13,3145","73,6674","-"
"OTK","OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","1,1631","2,0862","4,8289","2,5702","13,3087","55,8345","-"
"FDO","QNB FİNANS PORTFÖY SULTAN SERBEST(DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,7793","-5,3085","-3,1602","-","13,1200","-","-"
"ARE","İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,2757","-5,2094","0,0068","-0,8656","13,1007","83,6081","163,1470"
"MPK","MÜKAFAT PORTFÖY KİRA SERTİFİKASI KATILIM FONU","Katılım Şemsiye Fonu","1,1647","3,3129","7,3648","2,5700","13,0956","60,1727","-"
"ICD","ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,3073","4,5171","9,6766","2,9679","13,0740","53,2467","92,0988"
"ARF","AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,3424","4,0831","7,6480","2,8901","12,7219","68,1584","109,6351"
"YSU","YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,4932","5,7120","12,0226","2,1945","12,6920","58,2455","87,3174"
"TPO","İŞ PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","1,2322","3,7018","6,8599","2,6534","12,6913","63,7713","106,7023"
"GBN","GARANTİ PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,3083","4,1379","7,6168","2,8450","12,6372","-","-"
"DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,8095","2,9659","7,0199","1,8994","12,6061","56,8120","98,1576"
"OGF","OYAK PORTFÖY OYAK ÜYELERI İLE ÇALIŞANLARıNA YÖNELİK BORÇLANMA ARAÇLARI ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","1,3039","3,8682","7,1770","2,7232","12,5095","-","-"
"KTR","KT PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","1,1857","3,9492","6,6105","2,6213","12,4103","59,4733","-"
"GTF","AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2592","4,3149","7,7416","2,5810","12,3223","60,9743","101,4044"
"IPF","PERFORM PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,6081","3,4707","6,6582","2,4547","12,3198","-","-"
"TI4","İŞ PORTFÖY BİRİNCİ DEĞIŞKEN FON","Değişken Şemsiye Fonu","1,0362","2,4926","6,2203","1,7562","12,3130","60,6339","91,1399"
"AIM","AK PORTFÖY MİMKA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-9,8995","-16,0250","14,1271","-9,8750","12,1594","58,8541","-"
"OSL","OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2373","3,9012","7,0699","2,7236","12,1108","58,4764","95,3186"
"OKT","OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2636","3,7702","7,0276","2,7393","12,0722","64,8345","110,0119"
"GBL","AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,3279","3,7902","6,8699","2,6880","12,0689","57,6974","96,5277"
"DGH","ATA PORTFÖY ÜÇÜNCÜ SERBEST FONU","Serbest Şemsiye Fonu","1,2656","3,9017","7,1547","2,7160","11,9329","62,6069","50,9144"
"FIL","FİBA PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2709","3,9445","7,2173","2,7455","11,9320","59,9013","97,9244"
"UPP","ÜNLÜ PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2547","3,9403","7,1624","2,6992","11,9152","-","-"
"GYK","GEDİK PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2304","3,6083","6,3862","2,5958","11,6855","61,8386","102,3186"
"EKF","QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM FONU","Katılım Şemsiye Fonu","1,2330","3,0921","5,9925","2,5823","11,6247","56,7417","91,9532"
"SLF","FİBA PORTFÖY ŞEKERBANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2777","3,9028","7,0241","2,7321","11,5863","57,5245","89,6008"
"EIL","QİNVEST PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2331","3,7356","7,0064","2,5912","11,4450","56,3545","90,0737"
"IST","İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2464","3,7067","6,6489","2,6525","11,4439","61,1965","105,5364"
"ANL","AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2203","3,7808","6,9193","2,6571","11,3900","58,4608","95,5569"
"VK6","ZİRAAT PORTFÖY VAKIFBANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2489","3,8539","6,9512","2,6781","11,3262","58,4644","94,2091"
"FSF","FİBA PORTFÖY KISA VADELİ SERBEST FON","Serbest Şemsiye Fonu","1,1702","3,3567","6,4486","2,5283","11,2784","-","-"
"OKP","OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2033","3,4959","6,6244","2,6063","11,2779","-","-"
"TZL","ZİRAAT PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2470","3,8323","6,9003","2,6643","11,2608","58,3768","95,9955"
"HLL","ZİRAAT PORTFÖY HALKBANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2345","3,8183","6,8875","2,6523","11,1985","57,5302","93,6636"
"AAL","ATA PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2208","3,8335","7,0125","2,6674","11,1556","55,9449","89,3060"
"DLY","DENİZ PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2223","3,8090","6,8449","2,6332","11,1021","56,1242","91,2452"
"FIT","FİBA PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0919","3,4449","6,3240","2,3975","11,0963","58,1058","95,1019"
"HSL","HSBC PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2121","3,8022","6,8778","2,6354","11,0841","57,1928","90,9944"
"ECB","GLOBAL MD PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2428","3,7774","6,7843","2,6478","11,0815","57,5628","91,2462"
"ZBD","ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,6286","4,8948","11,2019","2,4160","11,0723","51,3690","95,5023"
"HPO","HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,1877","3,5850","6,4400","2,7408","11,0479","52,2639","89,0652"
"IGL","TEB PORTFÖY ING BANK PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,1982","3,7527","6,8748","2,5935","11,0223","57,6642","92,3703"
"GTL","GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2198","3,7777","6,8274","2,6095","11,0060","56,2662","91,0375"
"YBS","YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1779","3,1961","6,3748","2,3996","10,9735","54,6394","89,3387"
"ICE","ICBC TURKEY PORTFOY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2353","3,8128","6,7731","2,6541","10,9058","56,7909","91,0925"
"GAL","GARANTİ PORTFÖY İKİNCİ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2155","3,7597","6,7587","2,5997","10,8920","55,9408","90,7356"
"TKM","TEB PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,1941","3,7263","6,8008","2,5756","10,8744","56,1832","90,7287"
"YLB","YAPI KREDİ PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2192","3,7680","6,7794","2,5987","10,8509","56,8312","92,8405"
"TBV","İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2513","3,6482","6,1287","2,6749","10,8251","55,6792","95,2539"
"AYR","AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2306","3,6628","6,1748","2,7273","10,8214","56,3170","93,6513"
"KTU","KT PORTFÖY NEOVA KATILIM SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,2889","3,8568","6,7893","2,7159","10,8024","57,3119","-"
"FI5","QNB FINANS PORTFÖY PARA PIYASASI FONU","Para Piyasası Şemsiye Fonu","1,2140","3,7074","6,5589","2,5847","10,7190","56,9040","92,9112"
"ALE","AK PORTFÖY PARA PIYASASI FONU","Para Piyasası Şemsiye Fonu","1,1993","3,6861","6,6407","2,5877","10,6545","57,1869","94,3695"
"OYL","OYAK PORTFÖY BİRİNCİ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2080","3,5851","6,4088","2,5712","10,5209","55,5444","90,0184"
"MPF","MÜKAFAT PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU","Katılım Şemsiye Fonu","1,2330","3,4020","6,0010","2,4793","10,5195","53,5765","-"
"FPK","FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1401","3,4615","6,1871","2,5170","10,5182","54,2027","88,1646"
"HKV","ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1230","3,3235","6,0572","2,3958","10,5164","57,5405","94,3198"
"KTN","KT PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1610","3,5113","4,8486","2,5903","10,4515","52,9240","83,0861"
"TI1","İŞ PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,1850","3,6174","6,4385","2,5305","10,4309","56,7595","92,8912"
"TGA","GARANTİ PORTFÖY DÖRDÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,9306","3,8773","6,3987","3,2767","10,4004","67,4206","120,3265"
"GA1","GARANTİ PORTFÖY  BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2895","3,4053","6,1476","2,9028","10,3746","50,0576","75,4468"
"SKT","FİBA PORTFÖY ŞEKERBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2189","3,5100","6,2007","2,5639","10,3584","53,4490","85,4103"
"HOB","HSBC PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0615","3,2177","6,0459","2,4403","10,3426","52,5769","90,3703"
"VKT","ZİRAAT PORTFÖY VAKIFBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1043","3,2934","5,9743","2,3651","10,3156","55,0309","88,2413"
"DBZ","DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,2078","3,4479","5,9799","2,4573","10,2674","50,7247","86,2672"
"TOT","TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0843","2,9769","5,3107","2,3576","10,0344","59,2902","98,0051"
"KSV","KT PORTFÖY KISA VADELİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","1,1909","3,5452","5,8980","2,4847","10,0099","-","-"
"TZT","ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9460","2,9385","6,0583","2,0644","9,9946","56,7861","93,5704"
"ADE","AK PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,1358","3,5157","6,3623","2,4469","9,9741","50,7029","79,2478"
"AVT","AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1776","3,5203","6,1153","2,5470","9,9367","52,1881","84,0569"
"TZV","ZİRAAT PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0802","3,2245","5,6666","2,3248","9,8996","53,0728","85,1179"
"DDF","DENİZ PORTFÖY DİNAMO SERBEST FON","Serbest Şemsiye Fonu","1,1360","3,8136","6,5971","2,6769","9,7750","-","-"
"ABU","AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","1,1500","3,3922","5,9075","2,4387","9,7703","51,5721","80,1003"
"ZPK","ZİRAAT PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1684","3,4408","5,6234","2,4738","9,6876","54,3239","-"
"DBK","DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1477","3,2590","5,6638","2,5592","9,6843","50,4251","82,6215"
"HPV","ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1622","3,4829","5,7731","2,5042","9,6517","51,5853","-"
"IPG","İŞ PORTFÖY KAPİTAL SERBEST FON","Serbest Şemsiye Fonu","1,1896","3,4304","6,5883","2,6242","9,6435","25,5263","49,2319"
"GYL","GEDİK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1306","3,2112","5,8651","2,3444","9,6195","51,5761","82,8127"
"IBK","İŞ PORTFÖY MAXIMUM KART KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1248","3,4692","6,0637","2,5093","9,5328","52,3783","88,0144"
"RBV","ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1743","3,4886","5,8594","2,5187","9,5322","-","-"
"HPT","HSBC PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0139","3,1860","5,6812","2,2527","9,5309","51,7164","82,5118"
"ECV","GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1857","3,4571","5,7424","2,5093","9,5088","51,5559","80,7177"
"KTV","KT PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1588","3,3728","5,6156","2,4500","9,3297","50,1770","-"
"KTS","KT PORTFÖY İKİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","0,7389","2,7375","3,8832","1,7207","9,3118","48,3481","-"
"DPK","DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","0,9655","2,5395","5,2304","1,6204","9,1877","49,3090","-"
"AUT","ATA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9854","3,1230","5,1959","2,2512","9,1752","53,6366","88,0221"
"IPI","İŞ PORTFÖY BİRİKİM HESABI KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9657","3,0009","5,2860","2,1117","9,0968","52,8959","-"
"YDK","YAPI KREDİ PORTFÖY ÇALIŞAN HESAP KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9865","2,9635","5,2750","2,2063","9,0550","51,0706","82,0499"
"YOT","YAPI KREDİ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,6046","2,3004","4,9256","1,5198","9,0254","53,4773","82,5172"
"TNK","TEB PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0721","3,1238","5,2532","2,3206","8,9889","50,0626","80,0919"
"OTF","OYAK PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM FONU","Katılım Şemsiye Fonu","1,1342","3,2951","5,4617","2,3757","8,9324","-","-"
"TGT","GARANTİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,1626","3,4792","5,7752","2,6308","8,9052","49,9391","80,6374"
"TSI","İŞ PORTFÖY MAKSİMUM HESAP KISA VADELI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0706","3,0210","5,2782","2,3062","8,8863","50,5086","80,2715"
"TCB","TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9929","3,0923","5,3704","2,1966","8,7321","53,7814","90,7084"
"YHT","YAPI KREDİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,7164","2,5291","4,8620","1,8304","8,6796","50,8127","81,8418"
"TBP","İŞ PORTFÖY PRIVIA BANKACILIK DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","1,0296","1,7508","4,7080","1,9563","8,6362","48,4219","75,5457"
"TIV","İŞ PORTFÖY KISA VADELI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0614","2,8360","5,0078","2,2555","8,5085","49,4721","79,1995"
"FYT","QNB FINANS PORTFÖY KISA VADELI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9821","2,8255","4,9212","2,1929","8,4808","47,9529","79,7710"
"ECT","GLOBAL MD PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0317","3,1304","5,3517","2,2828","8,4556","49,9031","77,2868"
"MBL","MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,9958","3,0770","5,5737","2,2630","8,4468","24,0694","43,8521"
"IAT","İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1347","2,9362","4,3675","2,2299","8,2757","49,1632","70,9521"
"FYO","QNB FINANS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,9111","2,3808","4,3986","2,1019","8,2700","56,6428","85,8842"
"RBT","ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU","Katılım Şemsiye Fonu","1,1092","2,9426","4,9741","2,1710","8,0958","-","-"
"ZPG","ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU","Katılım Şemsiye Fonu","0,7763","1,1154","2,8104","0,7334","7,6892","54,0697","88,1255"
"IYR","İŞ PORTFÖY HEDEF SERBEST FON","Serbest Şemsiye Fonu","0,7510","1,5687","4,0556","1,8890","7,6392","-","-"
"APT","AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,7794","2,7922","4,3216","2,0645","7,5592","54,6780","88,1549"
"YFV","YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","0,4103","2,5290","4,6782","1,7763","7,4118","53,7179","80,0145"
"HST","HSBC PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,1692","1,8624","4,5175","1,1838","7,3046","43,2347","65,7906"
"TPF","TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,0441","0,5985","3,1055","1,0728","7,2679","65,8213","113,7308"
"TBT","TEB PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","-0,0501","1,4367","2,9487","0,8742","6,9051","46,0202","69,2373"
"USY","ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON","Serbest Şemsiye Fonu","1,2384","-1,4048","2,6139","1,3183","6,5303","-","-"
"AIS","AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,1236","3,3926","3,7426","2,3222","6,2174","48,9332","74,4762"
"TI6","İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,5214","2,4105","4,1020","1,5559","6,0645","43,0459","67,4555"
"DDC","DENİZ PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","1,2267","3,3125","1,7202","2,5610","5,9122","-","-"
"FI3","QNB FINANS PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,2042","1,4263","3,0171","0,9756","5,6692","40,9852","63,5930"
"GPF","GARANTİ PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","1,2031","2,7131","3,5626","2,4594","5,4870","40,5088","59,8460"
