"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ESG","MÜKAFAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON","Serbest Şemsiye Fonu","1,3722","4,1174","-","2,9925","-","-","-"
"IDL","MÜKAFAT PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","1,2506","-","-","2,6968","-","-","-"
"NZH","NEO PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","-","-","-","-","-","-","-"
"NSK","NEO PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"NZT","NEO PORTFÖY PY ORTA VADELİ BORÇLANMA ARAÇLARI  ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","-","-","-","-","-","-","-"
"OFY","OSG FONUNA BAĞLI YAN HESAP (TRSBMKS12230)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"OPL","OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,4474","-","-","-","-","-","-"
"OAY","OSY FONUNA BAĞLI YAN HESAP (TRSBMKS12230)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"OGD","OYAK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","-1,2622","-11,2616","-13,3174","-8,7682","-","-","-"
"OFB","OYAK PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"OFS","OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,9688","-","-","-","-","-","-"
"ODD","OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","-0,3532","43,3747","65,7627","8,0333","-","-","-"
"OYS","OYAK PORTFÖY ÜÇÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","5,5351","37,6403","81,2722","7,6776","-","-","-"
"PPD","PERFORM PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"PDF","QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,4081","-4,1446","3,8374","-0,2171","-","-","-"
"IZF","QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"PDD","QİNVEST PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","1,2207","-","-","-","-","-","-"
"FFH","QNB FİNANS PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","0,9968","-","-","-","-","-","-"
"OLB","QNB FİNANS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"FFP","QNB FİNANS PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,1584","-","-","-","-","-","-"
"FSK","QNB FİNANS PORTFÖY KISA VADELİ SERBEST FON","Serbest Şemsiye Fonu","1,1531","3,6050","6,7088","2,5021","-","-","-"
"OOP","QNB FİNANS PORTFÖY OPAL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"NPP","QNB FİNANS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,1500","-3,6586","4,5543","-0,1951","-","-","-"
"TZP","TACİRLER PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"TTL","TACİRLER PORTFÖY KARTOPU SERBEST FON","Serbest Şemsiye Fonu","2,9069","16,0332","65,5498","4,3009","-","-","-"
"TTV","TACİRLER PORTFÖY VEGA SERBEST FON","Serbest Şemsiye Fonu","1,2448","5,4362","9,9746","3,6687","-","-","-"
"TRR","TEB PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,2801","4,0267","7,4094","2,7838","-","-","-"
"YZH","TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","-5,0789","-","-","-","-","-","-"
