"oncekifiyat","tarih","fonkodu","fonadi","fiyat","paysayisi","kisisayisi","toplamdeger","tarih","fonkodu","fonadi","bankabonosu","diger","dovizodemebono","devlettahvili","dovizodemetahvil","eurobond","finansmanbonosu","fonkatilmabelgesi","gayrimenkulsertifikasi","hazinebonosu","hissesenedi","kamudisiborcaraclari","katilimhesabi","kamukirasertifikalari","kiymetlimadenler","ozelsektorkirasertifikalari","ozelsektortahvili","repo","turevaraclari","tpp","tersrepo","varligadaymenkulkiymetler","vadelimevduat","yabanciborclanmaaraclari","yabancihissesenedi","yabancimenkulkiymet"
,2021-01-04,ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0.028924,1131609764,3931.0,32730670.72,2021-01-04,ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),0,0,0,2.1,0,0,0,0,0,0,91.95,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0
,2021-01-04,ALE,AK PORTFÖY PARA PIYASASI FONU,2.377239,876471881,31934.0,2083583071.25,2021-01-04,ALE,AK PORTFÖY PARA PIYASASI FONU,0,0,0,0.74,0,0,41.96,0,0,0,0,0,0,0.01,0,0,0,0,0,18.35,32.2,0,6.81,0,0,0
,2021-01-04,ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU,6.368678,8571630.0,3207.0,54589954.36,2021-01-04,ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI FONU,0,0,0,0,0,0,35.86,0,0,0,0,0,0,0,0,0,0,0,0,9.35,47.72,0,6.99,0,0,0
,2021-01-04,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,2.562193,8250292.0,19.0,21138843.74,2021-01-04,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0,0,0,0,0,94.41,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,5.21,0,0,0
,2021-01-04,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.113858,566088176,5984.0,64453478.16,2021-01-04,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,94.49,0
,2021-01-04,APJ,AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,1.547209,16700291,184.0,25838833.42,2021-01-04,APJ,AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,0,0,0,0,0,0,0,86.4,0,0,0,0,0,0,0,0,0,0,2.49,0.8,0,0,5.82,0,4.49,0
,2021-01-04,APP,AK PORTFÖY P1 SERBEST ÖZEL FON,3.216826,26880245,2.0,86469060.93,2021-01-04,APP,AK PORTFÖY P1 SERBEST ÖZEL FON,0,0,0,0,0,60.95,0,23.43,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,6.49,0,8.16,0
,2021-01-04,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,0.050425,1048341379,12016.0,52862279.74,2021-01-04,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,0,0,0,75.86,0,0,4.4,0,0,0,0,0,0,0,0,0,5.81,0,0,0.78,13.27,0,0,0,0,0
,2021-01-04,ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,0.044823,341750924,1284.0,15318174.94,2021-01-04,ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,0,0,0,0,0,95.24,0,1.05,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,2.28,0,0,0
,2021-01-04,ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON,2.158189,32511923,19.0,70166879.22,2021-01-04,ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST ÖZEL FON,0,0,0,0,0,0,43.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.66,0,0,0
